num_vertices	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	
300	147457.880849	1.000000	686692300	148637.350979	0.992065	2000200	147457.880849	1.000000	24995800	151604.722110	0.972647	81018400	
300	145281.951773	1.000000	813759900	145287.507272	0.999962	2001200	145281.951773	1.000000	27002300	151248.263556	0.960553	92023700	
300	140359.814126	1.000000	575679400	140416.021119	0.999600	2000400	140359.814126	1.000000	22005000	143971.723691	0.974912	94011400	
300	146603.043103	1.000000	844739200	146603.043103	1.000000	2000300	146603.043103	1.000000	30997200	153447.915862	0.955393	84019100	
300	145003.454010	1.000000	854732400	145003.454010	1.000000	2000500	145003.454010	1.000000	32007500	149427.846007	0.970391	81019400	
300	145871.925718	1.000000	839760800	145871.925718	1.000000	1990400	145871.925718	1.000000	28006300	148619.792557	0.981511	83019000	
300	142559.551454	1.000000	803180600	142583.319921	0.999833	2000400	142559.551454	1.000000	30007300	147053.646732	0.969439	80027100	
300	146213.190384	1.000000	742167000	146213.190384	1.000000	2000200	146213.190384	1.000000	25996100	148078.712400	0.987402	82018400	
300	143552.016815	1.000000	819184600	143552.016815	1.000000	2000200	143552.016815	1.000000	30030700	147504.935093	0.973201	81018100	
300	150390.630326	1.000000	601662900	150390.630326	1.000000	2000400	150390.630326	1.000000	21005800	151843.883383	0.990429	86018900	
